Display Name,Metric Description (What the details evaluate)
Cost,"Breakdown of residency status (In-State, Out-of-State, WUE), tuition tier, and expected financial aid impact."
Difficulty,"Selectivity and admission criteria (acceptance rate, GPA profile, and institutional rigor)."
Support,"Availability and quality of academic advising, tutoring centers, freshman retention networks, and student success resources."
Adjustment,"Cultural transition and similarity to Southern California (lifestyle shift, regional dynamics, student body demographic balance)."
Home,"Travel logistics back to San Diego (direct flight availability, drive times, airport proximity, and travel costs)."
Social,"Weekend party environment, Greek life prevalence, off-campus house/bar scenes, and overall nightlife density."
Environment,"Proximity to outdoor recreation (beaches, trails, ski resorts, rivers) and access to active student lifestyle amenities."
Weather,"Count of pleasant/comfortable outdoor days during the core academic school year (Sept–May), excluding extreme heat, snow, or heavy rain."
Biology,"Institutional research funding (NIH/NSF), lab access, pre-health tracks, and proximity to biotech corridors."
CLS,"Alignment of biology curriculum with California Clinical Laboratory Scientist (CLS) prerequisites (e.g., Hematology, Quant Chem) and clinical rotation pipelines."
Spirit,"Game day culture, D1 sports tradition, stadium energy, and collective student body pride."
Happiness,"Student quality-of-life rating based on campus safety, housing, food, community feel, and day-to-day satisfaction (anchored to Princeton Review QoL surveys)."
Admissions,"Admissions: Selectivity, acceptance rates, test score profiles, and overall competitiveness of the admissions process."
