"School","Location","Enrollment","Cost_Score","Cost_Details","Difficulty_Score","Difficulty_Details","Support_Score","Support_Details","Adjustment_Score","Adjustment_Details","Home_Score","Home_Details","Social_Score","Social_Details","Environment_Score","Environment_Details","Weather_Score","Weather_Details","Biology_Score","Biology_Details","CLS_Score","CLS_Details","Spirit_Score","Spirit_Details","Happiness_Score","Happiness_Details","Admissions_Score","Admissions_Details"
"UCSB","Santa Barbara, CA","23113","B","$42,000 In-State COA. In-state UC tuition plus high Santa Barbara housing; ineligible for WUE.","F","Strict Pre-Bio GPA gatekeeping, brutal weed-out curves in Gen/Org Chem, and fast 10-week quarter pace.","C","Fast quarter pace and overcrowded advising force high self-advocacy; help centers exist but are heavily TA-driven.","A","Identical coastal SoCal beach culture (Isla Vista), outdoorsy lifestyle, and easy drive/flight home.","A","Easy: 4hr drive (~$40 gas) or 3hr flight (~$135).","A","Legendary Isla Vista street and house party culture right on the ocean.","A","Unmatched daily access to coastal surfing, beach cruisers, and an active ocean lifestyle.","A","~220 nice days. Mild coastal sun, minimal bad days","A","Top-tier R1 research; world-class molecular, cellular, and marine biology labs with strong West Coast biotech placement.","D","Pure theoretical bio; lacks clinical electives like Hematology and Quant Chem.","C","Solid Gaucho pride and soccer culture, but lacks big-time D1 football and stadium tailgating.","B","86 - High student satisfaction, beach setting, and strong campus community.","D","Hard / High Reach (~30% acceptance rate); UC system heavily caps unweighted GPA and lacks test options, placing her UN GPA below the median admitted tier."
"CU","Boulder, CO","32520","F","$65,000 Out-of-State COA. Most expensive option; no WUE for main campus, modest merit.","C","Rigorous Bio/Chem screening courses; strong R1 resources but requires heavy self-advocacy to get help.","B","Good Science Learning Center tutoring and peer support hubs, though large lectures require self-driven outreach.","B","High sun and huge SoCal outdoor match (hiking/skiing); very smooth transition despite altitude.","B","Easy: 5hr trip via 2.5hr flight + direct bus ($70-$130).","B","Lively Pearl Street and The Hill, but less formal Greek dominance than the SEC.","A","World-class access for mountain biking, climbing the Flatirons, and weekend ski trips.","C","~155 nice days. Cold snowy winters offset the crisp sunny days","A","BioFrontiers Institute powerhouse; deep federal funding and direct pipelines into the Boulder-Denver biotech/medical device hub.","C","Heavy research bio; missing clinical electives; requires external post-grad prereqs.","B","Passionate Folsom Field crowd and prime Big 12 atmosphere, but sports dont totally rule campus life.","A","93 - Outstanding outdoor lifestyle, high student happiness, and campus amenities.","B","Target (~80% acceptance rate); values AP rigor and personal essays heavily; her 3.5-3.6 W GPA makes her a strong applicant for general/bio entry."
"UA","Tucson, AZ","43294","D","$58,000 Out-of-State COA. High base non-resident tuition; no WUE; potential for Wildcat merit.","C","Massive intro lecture halls and self-driven environment; great research labs if you seek them out.","B","Strong ""Think Tank"" tutoring network and Pre-Health advising, though massive intro halls require student initiative.","A","Desert sun, palm trees, and massive California student population; seamless cultural transition.","B","Moderate: 3.5hr trip via 1.25hr flight + Uber ($175-$275).","A","Massive Greek life, pool parties, and a wild bar scene on Fourth Ave.","C","Great desert hiking and stargazing, but heavily landlocked and extremely hot.","B","~175 nice days. Lovely winters but brutal Jun-Sep heat (110F+) penalized","B","BIO5 Institute heavy-hitter; exceptional interdisciplinary labs, pre-health tracks, and growing AZ bioscience ties.","B","Strong Physiology/Med Bio tracks; covers core chem/micro, but no direct main-campus MLS BS.","A","Rivalry-fueled Wildcat sports culture; massive basketball tradition and rowdy football tailgates.","B","85 - Great weather, active campus social life, and high student satisfaction.","A","Easy / Safety (~86% acceptance rate); grid/index-based admissions heavily driven by core GPA requirements, making entry practically assured."
"ASU","Tempe, AZ","65450","D","$57,000 Out-of-State COA. High base cost; WUE excluded at Tempe main campus; New American merit eligible.","B","Early-warning tracking tech, 24/7 tutoring, and structured SI sessions keep large STEM classes manageable.","A","Industry-leading eAdvising tech with automated early-warning flags, 24/7 tutoring, and proactive SI study sessions.","A","Sunny year-round, giant SoCal transplant crowd, and familiar desert/coastal lifestyle blend.","A","Easy: 5.5hr drive (~$55 gas) or 3.5hr trip via 1.25hr flight ($40-$80).","A","The ultimate nightlife scale: Mill Ave, massive concerts, and huge Greek presence.","C","Highly urbanized; great city amenities but requires driving out of the metro for real nature escapes.","C","~150 nice days. Phoenix heat island makes bad days worse than Tucson","B","Biodesign Institute engine; cutting-edge facilities and strong health-tech pipelines in the Phoenix metro.","A","Offers a direct Medical Laboratory Science (BAS) degree with NAACLS-aligned clinical coursework.","A","Massive Sun Devil athletics presence; loud Big 12 game days and major campus-wide spirit.","B","85 - High campus energy, modern facilities, and top-tier student recreation.","A","Easy / Safety (~90% acceptance rate); strict assured-admissions criteria based on GPA/test scores where her 3.5+ W GPA guarantees entry."
"CSU","Fort Collins, CO","26839","C","$52,000 Out-of-State COA. Moderate non-resident base; WUE eligible (3.0+ GPA requirement).","A","Premier vet/life-science teaching focus; peer mentoring and collaborative labs minimize weed-out stress.","A","Dedicated STEM peer-mentoring, highly accessible faculty, and learning communities built around undergrad retention.","B","Great laid-back outdoor culture; feels slightly more local/traditional Colorado than Boulder.","C","Moderate: 6hr trip via 2.5hr flight + shuttle ($115-$175).","C","Laid-back brewery and live music town; missing the massive blowout party reputation.","A","Immediate access to Horsetooth Reservoir, Rocky Mountain trails, and outdoor recreation.","C","~155 nice days. Cold winters and high plains wind offset the sun","B","Legendary vet-med, microbiology, and animal science programs; exceptional hands-on labs across the Front Range.","B","Microbiology BS has strong clinical tracks and a direct feeder partnership with CCMLS.","B","Loud, loyal Ram pride with a great modern on-campus stadium, though not SEC-level madness.","B","89 - Excellent college town environment, high student well-being, and outdoor access.","A","Easy / Safety (~90% acceptance rate); highly accessible admissions criteria that readily admit students clearing a 3.0+ GPA threshold."
"UofSC","Columbia, SC","30187","C","$54,000 Out-of-State COA. Standard non-resident base tuition; no WUE; limited out-of-state merit.","A","Nationally top-ranked advising network with structured Supplemental Instruction (SI) in tough sciences.","A","Nationally top-ranked Student Success Center with extensive Supplemental Instruction (SI) and hands-on academic coaching.","D","Significant shift to SEC Greek life, traditional Southern pacing, and a completely different social ecosystem.","D","Hard: 8+hr trip via multi-leg flights; expensive ($275-$475+).","A","Elite SEC Greek life and chaotic Five Points bar scene right off campus.","D","Landlocked with heavy humidity; outdoor recreation is highly limited compared to the West Coast.","D","~130 nice days. Humid muggy summers drag the score down hard","C","Solid pre-med tracks and regional hospital networks, but lacks a dense local corporate biotech corridor.","B","Solid pre-med/bio curriculum; easily covers core prereqs with in-state clinical pipelines.","A","Elite SEC football religion; iconic Five Points tailgating and intense, stadium-shaking spirit.","B","88 - Deep SEC campus pride, active student body, and vibrant campus life.","B","Target (~57% acceptance rate); holistic review process that rewards her AP coursework and strong essay writing."
"OSU","Corvallis, OR","31253","C","$54,000 Out-of-State COA. WUE eligible (3.0+ GPA) or Golden State merit award for CA applicants.","A","Dedicated Science Success Center tutoring and early paid research access (URSA-Engage) drive high retention.","A","Science Success Center offers dedicated STEM tutoring and early paid research mentorship (URSA-Engage).","B","West Coast outdoorsy vibe; heavily aligned with SoCal lifestyle values despite the regional shift.","C","Hard: 6.5hr trip via 2.5hr flight + long shuttle ($170-$210).","D","Quiet, subdued campus nightlife; mostly smaller house parties and local pubs.","B","Great access to the Cascades and coast, but persistent rain limits daily outdoor consistency.","D","~105 nice days. Relentless PNW grey and rain","B","Elite ag/forestry research with massive federal grants; top-tier environmental biology and biochemistry labs.","A","Features a dedicated BioHealth Sciences major with an official Pre-Clinical Lab Science option.","B","Deep Beaver pride and loyal Reser Stadium culture, though slightly overshadowed regionally by UO.","B","82 - High marks for campus safety, friendly community, and outdoor culture.","A","Easy / Safety (~78% acceptance rate); holistic but accessible admissions where her 3.5+ W GPA and AP background put her in a great spot."
"SDSU","San Diego, CA","34600","A","$33,000 In-State COA. Lowest total cost on list (~$21k if living at home); in-state rate.","C","Impacted biology major; large intro lectures and high demand require proactive office hour visits.","C","Impacted biology major causes advising slots to fill fast; resources exist but the system wont hunt you down.","A","Zero adjustment; home turf in San Diego with familiar local network, weather, and coastal lifestyle.","A","Easy: 45min drive; zero flight friction.","A","Massive Southern California party reputation and huge local nightlife access.","A","Perfect year-round weather for coastal surfing, hiking, and active local sports leagues.","A","~250 nice days. Peak SoCal perfection, minimal bad days","A","Leverages San Diego’s top-3 global biotech hub (Torrey Pines Mesa) for unmatched local interning and lab access.","A","Microbiology BS offers an explicit Clinical Lab Science emphasis including Hematology.","B","Strong Aztec basketball energy and new Snapdragon Stadium tailgating, but competes with SD lifestyle.","B","84 - Strong local lifestyle, high campus satisfaction, and great climate.","C","Target / Reach (~36% acceptance rate); CSUs use a strict numerical algorithm weighted on raw GPA without essays; impacted Bio major keeps entry tight."
"UofU","Salt Lake City, UT","29335","C","$51,000 Out-of-State COA. Moderate non-resident base; WUE eligible with a 3.3+ UN GPA.","B","Direct med center access with funded undergrad research (UROP) and collaborative STEM support.","B","Well-funded STEM tutoring hubs and direct Health Sciences advising with accessible undergrad research mentors.","C","Progressive college pockets, but embedded in a distinct regional and religious cultural backdrop.","C","Moderate: 4hr trip via 2hr flight; tickets pricey ($200-$300).","F","Very muted nightlife due to local liquor laws and a heavy commuter population.","A","Unbeatable access to world-class ski canyons within 30 minutes of campus.","C","~150 nice days. Cold winters plus inversions hurt air quality badly","A","World-renowned genetics and biochemistry labs with direct ties to U of U Health and Intermountain West biotech.","A","Features a direct, NAACLS-accredited BS in Medical Laboratory Science with clinical rotations.","B","Loud, passionate Utes fanbase and elite football atmosphere in Rice-Eccles, backed by deep regional loyalty.","B","87 - Excellent campus facilities, mountain backdrop, and high overall student life.","A","Easy / Safety (~87% acceptance rate); high acceptance rate with broad admissions criteria where her GPA profile is well above average."
"AU","Auburn, AL","28953","D","$56,000 Out-of-State COA. High non-resident cost; strict out-of-state merit tiers; no WUE.","B","Dedicated COSAm STEM tutoring centers, strong pre-health advising, and accessible faculty mentorship.","A","COSAM features structured drop-in STEM tutoring centers, dedicated pre-health advisors, and close faculty ties.","D","Significant shift to SEC Greek life, traditional Southern pacing, and a completely different social ecosystem.","D","Hard: 7.5hr trip via flight + shuttle; expensive ($200-$400+).","A","Legendary SEC tailgating and massive traditional Greek life dominance.","D","Lake Martin is great, but day-to-day dynamic outdoor terrain is very limited.","D","~125 nice days. Deep South heat and humidity punish the bad days","C","Strong pre-vet and agricultural tracks, but traditional corporate biotech/industrial bio networking lags behind.","B","Main campus covers core prereqs in Biomedical Sci; full NAACLS MLS is at Auburn Montgomery.","A","Peak SEC tradition; Toomers Corner, legendary tailgating, and total town-wide football immersion.","A","98 - Near-top national satisfaction rating; legendary campus spirit, food, and student community.","C","Target / Reach (~50% acceptance rate); competitive out-of-state pool where admissions leans heavily on GPA metrics and academic alignment."
