"School","Full_Name","Photo_1","Photo_2","Photo_3","Video_URL","Topology","Airport_Distance","Transit_Options","Neighborhood_Vibe","Housing_Status","Medical_Access","Link_Admissions","Link_Bio_Dept","Link_Official_Site","School_Logo","Link_Appily"
"SDSU","San Diego State University","https://slhs.sdsu.edu/_resources/images/phd/hepner-aerial2jpg.jpg","https://www.sandiegouniontribune.com/wp-content/uploads/migration/2023/11/01/0000018a-ae82-d220-a7de-eec6ae8f0000.jpg","https://ontheworldmap.com/usa/city/san-diego/sdsu-campus-map.jpg","https://www.youtube.com/embed/GB39rRYedBQ","Built on a mesa with distinct slopes and stairways connecting upper and lower campus, but compact enough to cross on foot in 20 minutes.","12 miles (~15-20 min drive) to San Diego International Airport (SAN).","Direct MTS Green Line Trolley station on campus connecting straight to downtown and Mission Valley.","Dense, student-heavy suburban college area immediately surrounding campus; vibrant local spots with fast access to North Park, Hillcrest, and the beaches.","Freshmen are clustered in vibrant residential halls near the center of campus, promoting strong social integration and quick access to academic quads.","No primary on-campus teaching hospital, but positioned within 30 minutes of major research and medical powerhouses like UCSD Health and the Torrey Pines Mesa biotech cluster.","https://admissions.sdsu.edu","https://biology.sdsu.edu/bachelors-programs/","https://www.sdsu.edu","https://brand.sdsu.edu/_images/_logo-section/index/800x600-athletics-logo.jpg","https://www.appily.com/colleges/san-diego-state-university"
"UCSB","University of California Santa Barbara","https://dailynexus.s3-us-west-1.amazonaws.com/dailynexus/wp-content/uploads/2020/03/DSC_0347.jpg","https://summerspringboard.com/wp-content/uploads/2025/07/UC-Santa-Barbara-Campus-Photo.jpg","https://i.pinimg.com/736x/a9/c5/8b/a9c58b1b39f3f19727cacc7b02fcb596.jpg","https://www.youtube.com/embed/Jkj1qbJ30qg","Flat, coastal campus built on a bluff directly adjacent to the Pacific Ocean; exceptionally bike-friendly with extensive dedicated paths and flat terrain.","10 miles (~15 min drive) to Santa Barbara Municipal Airport (SBA).","MTD local bus network serves campus heavily, though bikes and walking are the primary modes of transport for students.","Laid-back, vibrant beach town culture anchored by Isla Vista—a legendary, dense student community directly adjacent to campus packed with surf shops, local eats, and weekend energy.","Freshmen are housed in diverse coastal residential halls, many offering ocean views and immediate beach access, fostering a unique surf-and-study atmosphere.","No on-campus teaching hospital, but connected via regional transit and close proximity to Cottage Health medical networks and local biotech research centers.","https://admissions.ucsb.edu","https://undergrad.biology.ucsb.edu/majors","https://www.ucsb.edu","https://brand.ucsb.edu/sites/default/files/images/pages/Visual-Identity/Marks/Seal/2-color-seal.gif","https://www.appily.com/colleges/university-of-california-santa-barbara"
"CU Boulder","University of Colorado Boulder","https://www.colorado.edu/strategicrelations/sites/default/files/styles/original_image_size/public/article-image/2018_cu_boulder_aerial.jpg?itok=wW6T3JWl","https://commons.wikimedia.org/wiki/Special:FilePath/Aerial8_%2823928920228%29.jpg","https://campusvisitorguides.com/dev/wp-content/uploads/sites/25/2020/01/CU-Boulder-Campus-Map.jpg","https://www.youtube.com/embed/vXIQPpLnxCw","Picturesque rolling campus tucked right against the foothills of the Rocky Mountains with gentle slopes, beautiful stone pathways, and iconic outdoor gathering quads.","28 miles (~40 min drive) to Denver International Airport (DEN) via regional highway and direct airport bus lines.","RTD regional bus system and the on-campus HOP transit route connect students seamlessly across Boulder and to local trailheads.","Vibrant college-town atmosphere anchored by the historic Pearl Street Mall and The Hill directly adjacent to campus, offering a lively mix of local coffee shops, eateries, and student culture.","Freshman housing features unique residential academic programs (RAPs) that integrate dorm life directly with faculty and specialized classroom spaces.","Campus medical services available via Wardenburg Health Center; proximal to Boulder Community Health facilities.","https://admissions.colorado.edu","https://www.colorado.edu/biologyadvising/explore-our-programs","https://www.colorado.edu","https://www.colorado.edu/imc/sites/default/files/styles/small_500px_25_display_size_/public/2026-02/CU_Primary_RGB.jpg?itok=QtZbzDv1","https://www.appily.com/colleges/university-of-colorado-boulder"
"U of Arizona","University of Arizona","https://www.arizona.edu/sites/default/files/images/DJI_20240826184423_0052_EDIT.jpeg.webp","https://static.studyusa.com/school/aws_Z9vHSrMbw6Z0kF3X2Ugubh7DFBtwM6lA_lg_1x.jpg","https://maps.arizona.edu/campus360/images/campus.png","https://www.youtube.com/embed/stbnTp2iuys","Flat, grid-based desert campus with iconic palm-lined pedestrian walkways (The Mall) that make walking and biking extremely easy across the entire layout.","9 miles (~20 min drive) to Tucson International Airport (TUS).","Sun Tran bus system and the modern Sun Link Streetcar running directly through campus and downtown Tucson.","Lively college community anchored by the vibrant Fourth Avenue strip and immediate proximity to downtown Tucson's dining, arts, and desert culture.","Freshmen enjoy access to large-scale residential communities designed for social engagement, often featuring specialized pools, lounges, and proximity to campus dining.","Full clinical access through Banner University Medical Center located adjacent to campus.","https://admissions.arizona.edu","https://degrees.asu.edu/bachelors/major/ASU00/ASLSCBS/biology","https://www.arizona.edu","https://i.pinimg.com/736x/6a/c7/66/6ac766bd286c45a06cf09af68dbcc209.jpg","https://www.appily.com/colleges/university-of-arizona"
"Arizona State","Arizona State University","https://www.studyabroadfoundation.org/sites/default/files/styles/hero_section_desktop/public/2022-07/Arizona_State_University_Content_019_0.jpg?h=fab29234&itok=5nvfbYks","https://upload.wikimedia.org/wikipedia/commons/8/8c/Sun_Devil_Stadium_-_Pac12_Championship.jpg","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkgFNpHdLJpbNhivPsYBf8NE-aT1spnx_3edIPGxFlvFUrh5VZAV0C_nA&s=10","https://www.youtube.com/embed/XYRmqcMAX_Y","Flat urban-suburban campus layout featuring broad pedestrian malls, open green spaces, and integrated light rail access across the Tempe metro.","7 miles (~10-15 min drive) to Phoenix Sky Harbor International Airport (PHX).","Valley Metro Light Rail station directly on campus alongside extensive local bus routes and free neighborhood circulators.","Massive urban college environment anchored by Mill Avenue's bustling nightlife, restaurants, and immediate access to the greater Phoenix metropolitan tech and entertainment scene.","Modern residential villages offer a wide array of dorm styles, with many freshmen living in specialized residential colleges that cluster majors together.","Integrated health services on-campus and close proximity to Valley-wide clinical networks.","https://admissions.asu.edu","https://asuonline.asu.edu/online-degree-programs/undergraduate/biological-sciences-bs/","https://www.asu.edu","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeCGjrtxrqFOB4ItznXKziVJBZfn0lbHneSkdCXbgQFSYtxN_vXJUwXPY&s=10","https://www.appily.com/colleges/arizona-state-university-campus-immersion"
"Colorado State","Colorado State University","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxrXaKUCPMzkqbGdLuRo7IdOzggneCIjMdb8UibohDfkUFNSN2e0n9DdI&s=10","https://blogs-images.forbes.com/kristidosh/files/2017/08/IMAG8745.jpg","https://i.pinimg.com/originals/ca/33/b4/ca33b4ba7e73ebc1bd73263bba008854.jpg","https://www.youtube.com/embed/5E3WaTe94Co","Flat, historic, and beautifully shaded campus centered around 'The Oval,' with dedicated bike lanes and extremely easy pedestrian navigation.","65 miles (~1 hr 15 min drive) north to Denver International Airport (DEN), with convenient Bustang shuttle options.","MAX Bus Rapid Transit system running directly through campus, connecting Fort Collins from north to south.","Charming, bike-obsessed Colorado mountain town featuring historic Old Town Fort Collins with local craft breweries, coffee shops, and active outdoor communities.","Freshman living is focused on a 'residential community' model, where students are grouped in historic or modern halls based on themes and academic interests.","Clinical partnerships with UCHealth Medical Center of the Rockies and local regional clinics.","https://admissions.colostate.edu","https://admissions.colostate.edu/programs/biology/","https://www.colostate.edu","https://upload.wikimedia.org/wikipedia/en/1/14/Colorado_State_Rams_logo.svg","https://www.appily.com/colleges/colorado-state-university-fort-collins"
"U of South Carolina","University of South Carolina","https://www.usnews.com/dims4/USNEWS/aa1ed7b/17177859217/resize/800x540%3E/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ffb%2Fce%2F8e7fde4944adb8527bd0fd7065b8%2Fuscb-aerial.jpg","https://gamecocksonline.com/imgproxy/fHr9rKla3n6cDfyHi_JPPFIzMF8muKKWnyU7tIjwgKk/fit/5000/5000/ce/0/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dhbWVjb2Nrc29ubGluZS1jb20vMjAyMS8wNS9jNDdhMjEwNi13aWxsaWFtc19icmljZV9wYXJhbGxheF8yMi5qcGc.png","https://www.uscb.edu/admissions/visit-campus/images/bluffton-campus-map-nature-trail_900px.png","https://www.youtube.com/embed/CdX2AJ82X1I","Compact, historic urban-campus layout featuring brick pathways, shaded quads (The Horseshoe), and relatively flat walking terrain.","7 miles (~15 min drive) to Columbia Metropolitan Airport (CAE).","COMET bus system and student-operated shuttles offering reliable connectivity across campus and downtown Columbia.","Classic Southern capital city setting anchored by the historic Five Points district, local eateries, and bustling SEC game-day culture.","Freshmen are typically housed in historic or modern residential communities centered on The Horseshoe or dedicated freshman living-learning dorms.","Integrated student health and access to Prisma Health hospital systems.","https://sc.edu/admissions/","https://sc.edu/study/majors_and_degrees/biochemistry-and-molecular-biology-bs.php","https://sc.edu","https://sc.edu/about/offices_and_divisions/communications/images/toolbox/logos/grid_athletics_logo.png","https://www.appily.com/colleges/university-of-south-carolina-columbia"
"U of Utah","University of Utah","https://www.utah.edu/_resources/images/visitors/banner-visitor.jpg","https://olympics.utah.edu/wp-content/uploads/2024/07/2011utahfootball08.jpg","https://www.utah.edu/_resources/images/printable-maps/main-campus-2026-thumb.jpg","https://www.youtube.com/embed/PNR8HN7Frpo","Hillside campus nestled against the Wasatch Range, featuring sloping terrain, scenic elevated views of Salt Lake City, and modern architectural clusters.","10 miles (~20 min drive) to Salt Lake City International Airport (SLC).","UTA TRAX light rail red line and campus shuttle network offering free transit for students across the Salt Lake valley.","Progressive, active urban-mountain setting right at the foot of world-class ski canyons, combining city culture with instant access to outdoor recreation.","Freshman living is largely centered in modern residential complexes that provide community-focused living spaces and direct access to mountain recreation.","University of Utah Health provides a premier on-campus teaching hospital and clinical research system.","https://admissions.utah.edu","https://www.biology.utah.edu/undergraduate-biology-degree-options/","https://www.utah.edu","https://d26toa8f6ahusa.cloudfront.net/wp-content/uploads/2025/07/02153213/Screenshot-2025-07-02-at-3.24.52%E2%80%AFPM.png","https://www.appily.com/colleges/university-of-utah"
"Oregon State","Oregon State University","https://oregonstate.edu/sites/default/files/2023-09/corvallis-aerial-900x600.jpg","https://images.sidearmdev.com/resize?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2023%2F9%2F9%2FReser.jpg&height=1100&type=webp","https://campusvisitorguides.com/oregonstate/wp-content/uploads/sites/19/2020/04/ORS-campus-map.jpg","https://www.youtube.com/embed/liccjXizUA0","Flat, historic Pacific Northwest campus featuring towering old-growth trees, brick architecture, and extensive dedicated bike paths.","45 miles (~50 min drive) north to Eugene Airport (EUG) or 90 miles to Portland International (PDX).","Corvallis Transit System (CTS) provides fareless local bus service across the entire city and campus footprint.","Classic, friendly Pacific Northwest college town centered around a vibrant downtown area filled with local coffee houses, independent bookstores, and microbreweries.","Freshmen are housed in historic and contemporary residence halls across campus, often featuring unique community-building programs and easy access to academic buildings.","Access via Good Samaritan Regional Medical Center and university-affiliated health clinics.","https://admissions.oregonstate.edu","https://catalog.oregonstate.edu/college-departments/science/school-life-sciences/integrative-biology/biology-bs-hbs/","https://oregonstate.edu","https://communications.oregonstate.edu/sites/communications.oregonstate.edu/files/styles/fluid_webp/public/beaver-head.png.webp?itok=vjpfOskK","https://www.appily.com/colleges/oregon-state-university"
"Auburn","Auburn University","https://auburn.edu/about/_assets/images/facts-figures.jpg","https://auburntigers.com/imgproxy/k_3hWw4p4p-mmr8jZRMNg8x-eNBFV7ROHoqx5Ky2snU/rs:fit:1200:630:0:0/g:ce:0:0/q:70/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2F1YnVybi1wcm9kLzIwMjQvMDYvMTUvUFRIY25LWDRhTndRbjZqak10VlpyeFczYmR1VEJycjJWSGU4QjhlZi5qcGc.jpg","https://cdn.shopify.com/s/files/1/1693/7493/files/CampusMap_2048x2048.png","https://www.youtube.com/embed/KCmmXKukIV4","Rolling, picturesque Southern campus featuring historic brick buildings, beautiful oak-lined quads, and gently sloping terrain.","55 miles (~50 min drive) west to Montgomery Regional Airport (MGM) or 100 miles to Atlanta (ATL).","Tiger Transit bus system providing extensive complimentary transportation across campus and the local Auburn area.","Classic, tight-knit SEC college town centered around Toomer's Corner, legendary local dining, and unmatched community spirit.","Freshman living is focused on residential communities that emphasize the 'Auburn Family' spirit, with many options in modern halls and dormitories near campus dining and student centers.","University-affiliated medical support services and proximal to regional care providers.","https://auburn.edu/admissions/index.php","https://bulletin.auburn.edu/undergraduate/collegeofsciencesandmathematics/biologicalsciences/","https://www.auburn.edu","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTetJVYgblnELxEf-5OgdY7uiATmusJvwp15f6N-sB_1K2dA9Zm8tYe2tKz&s=10","https://www.appily.com/colleges/auburn-university"
